SPECTRUM - MS
20190411_GroEL_IST-100_MS1_6k.RAW
FTMS + p NSI Full ms [2000.0000-40000.0000]
Scan #: 4-98
RT: 0.05-1.29
AV: 95
Data points: 4935
Mass	Intensity
1979.738553	0.000000
1979.905615	0.000000
1980.072698	0.000000
1980.239802	0.000000
2326.154888	0.000000
2326.367665	0.000000
2326.580472	0.000000
2326.793308	0.000000
2327.006173	26.388997
2327.219068	55.004663
2327.431991	73.363010
2327.644944	63.255466
2327.857926	33.621094
2328.070937	0.407466
2328.283978	0.000000
2328.497047	0.000000
2328.710146	0.000000
2328.923275	0.000000
2428.110534	0.000000
2428.337453	0.000000
2428.564404	0.000000
2428.791387	0.000000
2429.018402	37.284508
2429.245448	51.973266
2429.472526	58.126004
2429.699636	45.173373
2429.926778	21.768925
2430.153952	0.327624
2430.381158	0.000000
2430.608395	0.000000
2430.835665	0.000000
2431.062966	0.000000
2611.462488	0.000000
2611.715590	0.000000
2611.968728	0.000000
2612.221904	0.000000
2612.475116	29.127117
2612.728365	60.751912
2612.981651	73.600031
2613.234973	57.535486
2613.488333	30.042227
2613.741729	0.598812
2613.995163	0.000000
2614.248633	0.000000
2614.502140	0.000000
2614.755684	0.000000
2699.685028	0.000000
2699.951064	0.000000
2700.217139	0.000000
2700.483253	0.000000
2700.749407	21.398919
2701.015599	47.824619
2701.281832	61.582746
2701.548103	49.593674
2701.814414	24.311805
2702.080765	0.534746
2702.347155	0.000000
2702.613584	0.000000
2702.880052	0.000000
2703.146560	0.000000
2838.921398	0.000000
2839.208279	0.000000
2839.495203	0.000000
2839.782170	0.000000
2840.069181	66.724045
2840.356235	117.747119
2840.643333	134.177408
2840.930475	102.254700
2841.217660	50.847372
2841.504889	2.709138
2841.792161	0.000000
2842.079476	0.000000
2842.366836	0.000000
2842.654239	0.000000
2879.218749	0.000000
2879.511760	0.000000
2879.804815	0.000000
2880.097915	0.000000
2880.391059	8.990681
2880.684249	1005.958175
2880.977483	2543.408213
2881.270762	3516.886981
2881.564086	3359.630714
2881.857454	2431.477688
2882.150868	1147.864821
2882.444326	289.997981
2882.737829	13.872295
2883.031377	0.000000
2883.324969	0.000000
2883.618607	0.000000
2883.912289	0.000000
2920.978915	0.000000
2921.278323	0.000000
2921.577778	0.000000
2921.877278	0.000000
2922.176825	162.757837
2922.476417	1827.291392
2922.776056	5734.549428
2923.075741	11295.535004
2923.375472	16020.374420
2923.675249	18902.060675
2923.975072	17817.005550
2924.274941	12257.214172
2924.574856	5758.610388
2924.874818	1565.626665
2925.174825	84.911742
2925.474879	0.000000
2925.774979	0.000000
2926.075125	0.000000
2926.375318	0.000000
2963.960241	0.000000
2964.266282	0.000000
2964.572371	0.000000
2964.878507	0.000000
2965.184691	1.407445
2965.490922	238.774865
2965.797200	2250.575883
2966.103526	7554.419424
2966.409900	13962.967082
2966.716320	17654.060387
2967.022789	18736.937301
2967.329305	16858.731649
2967.635868	11468.279067
2967.942479	5443.799239
2968.249137	1335.757398
2968.555843	56.165499
2968.862597	0.000000
2969.169398	0.000000
2969.476246	0.000000
2969.783142	0.000000
3008.523071	0.000000
3008.836041	0.000000
3009.149059	0.000000
3009.462126	0.000000
3009.775242	1.758826
3010.088407	21.206585
3010.401621	324.715602
3010.714883	2014.079230
3011.028195	3854.966740
3011.341555	4692.705214
3011.654964	4741.972515
3011.968423	4455.726220
3012.281930	3212.600749
3012.595486	1540.901528
3012.909091	176.898746
3013.222745	5.914570
3013.536448	0.000000
3013.850200	0.000000
3014.164001	0.000000
3014.477851	0.000000
3244.357254	0.000000
3244.707737	0.000000
3245.058276	0.000000
3245.408872	0.000000
3245.759524	34.161636
