SPECTRUM - MS
20190411_GroEL_IST-20_Iso11960_Width200_HCD250_6k.RAW
FTMS + p NSI Full ms2 11960.0000@hcd250.00 [1000.0000-40000.0000]
Scan #: 1-28
RT: 0.03-0.71
AV: 28
Data points: 8077
Mass	Intensity
989.965273	0.000000
990.024346	0.000000
990.083425	0.000000
990.142508	0.000000
1001.946136	0.000000
1002.006285	0.000000
1002.066440	0.000000
1002.126599	0.000000
1002.186765	8.031005
1002.246935	14.619263
1002.307111	17.716287
1002.367293	15.063883
1002.427480	8.273561
1002.487672	0.301513
1002.547870	0.000000
1002.608073	0.000000
1002.668281	0.000000
1002.728495	0.000000
1030.197129	0.000000
1030.259840	0.000000
1030.322556	0.000000
1030.385278	0.000000
1030.448006	8.402889
1030.510740	13.762471
1030.573479	15.770627
1030.636225	13.757690
1030.698975	9.102407
1030.761732	0.183236
1030.824494	0.000000
1030.887262	0.000000
1030.950036	0.000000
1031.012816	0.000000
1033.339696	0.000000
1033.402694	0.000000
1033.465698	0.000000
1033.528707	0.000000
1033.591722	10.659267
1033.654743	17.945036
1033.717770	19.334840
1033.780803	14.372092
1033.843841	6.906152
1033.906885	0.135965
1033.969935	0.000000
1034.032990	0.000000
1034.096052	0.000000
1034.159119	0.000000
1078.687227	0.000000
1078.754417	0.000000
1078.821614	0.000000
1078.888817	0.000000
1078.956025	9.728538
1079.023241	15.778326
1079.090462	18.678176
1079.157690	17.250759
1079.224924	12.202641
1079.292164	0.439437
1079.359411	0.000000
1079.426664	0.000000
1079.493923	0.000000
1079.561189	0.000000
1097.955498	0.000000
1098.024497	0.000000
1098.093502	0.000000
1098.162513	0.000000
1098.231531	13.283789
1098.300556	19.484523
1098.369587	20.734855
1098.438624	16.301518
1098.507668	8.742399
1098.576719	0.194529
1098.645776	0.000000
1098.714839	0.000000
1098.783909	0.000000
1098.852986	0.000000
1106.770618	0.000000
1106.840449	0.000000
1106.910286	0.000000
1106.980131	0.000000
1107.049982	8.407615
1107.119839	17.034374
1107.189703	22.116330
1107.259574	20.179079
1107.329451	12.873274
1107.399335	0.119794
1107.469226	0.000000
1107.539123	0.000000
1107.609027	0.000000
1107.678938	0.000000
1115.197773	0.000000
1115.268403	0.000000
1115.339040	0.000000
1115.409684	0.000000
1115.480334	10.063658
1115.550991	16.572496
1115.621655	18.778266
1115.692325	15.488005
1115.763003	8.868614
1115.833686	0.079516
1115.904377	0.000000
1115.975074	0.000000
1116.045778	0.000000
1116.116489	0.000000
1118.808486	0.000000
1118.879459	0.000000
1118.950439	0.000000
1119.021426	0.000000
1119.092420	7.821539
1119.163421	14.166750
1119.234428	17.287447
1119.305442	15.377003
1119.376463	9.673046
1119.447490	0.223745
1119.518524	0.000000
1119.589566	0.000000
1119.660613	0.000000
1119.731668	0.000000
1187.384491	0.000000
1187.462089	0.000000
1187.539694	0.000000
1187.617308	0.000000
1187.694928	8.286431
1187.772557	15.182634
1187.850193	17.944399
1187.927836	15.150987
1188.005487	9.070663
1188.083146	0.106078
1188.160813	0.000000
1188.238487	0.000000
1188.316168	0.000000
1188.393858	0.000000
1201.159771	0.000000
1201.238723	0.000000
1201.317683	0.000000
1201.396651	0.000000
1201.475626	12.582877
1201.554610	19.886012
1201.633601	21.644119
1201.712600	17.248494
1201.791606	9.857198
1201.870621	0.359656
1201.949643	0.000000
1202.028673	0.000000
1202.107711	0.000000
1202.186757	12.405771
1202.265811	16.548267
1202.344872	17.600764
1202.423941	15.022733
1202.503018	9.578906
1202.582103	0.242843
1202.661195	0.000000
1202.740295	0.000000
1202.819404	0.000000
1202.898520	0.000000
1229.030676	0.000000
1229.112392	0.000000
1229.194116	0.000000
1229.275849	0.000000
1229.357589	9.485976
1229.439338	16.510899
1229.521095	18.503155
1229.602860	14.461014
1229.684633	7.380277
1229.766414	0.185304
1229.848204	0.000000
1229.930001	0.000000
1230.011807	0.000000
1230.093621	0.000000
1235.429088	0.000000
1235.511443	0.000000
1235.593807	0.000000
1235.676178	0.000000
1235.758558	8.431303
1235.840946	16.192750
1235.923342	20.332019
1236.005747	18.193997
1236.088159	11.387100
1236.170580	0.295883
1236.253010	0.000000
1236.335447	0.000000
1236.417893	0.000000
1236.500347	0.000000
1247.290000	0.000000
1247.373543	0.000000
1247.457096	0.000000
1247.540656	0.000000
1247.624226	8.836208
1247.707803	15.834380
1247.791389	18.531816
1247.874983	14.824396
1247.958586	7.215167
1248.042197	0.186714
1248.125817	0.000000
1248.209444	0.000000
1248.293081	0.000000
1248.376725	0.000000
1334.019643	0.000000
1334.112050	0.000000
1334.204468	0.000000
1334.296894	0.000000
1334.389331	12.016600
1334.481777	20.227598
1334.574232	22.768238
1334.666698	17.971919
1334.759173	8.912038
1334.851657	0.227060
1334.944151	0.000000
1335.036655	0.000000
